"","latitude","longitude"
"1",-13.7511,-172.5183
"238",-14.3306,-170.7136
"1282",15.2136,145.7497
"2251",14.1717,145.2428
"3298",15.1167,145.7167
"4376",15,145.6333
"4821",13.3894,144.6575
"5834",13.52,144.8472
"6345",13.2853,144.7547
"7048",13.4503,144.8008
"7666",13.3522,144.7669
"8687",13.4836,144.7961
"9766",18.4414,-66.6589
"10787",18.4071,-66.7603
"10936",18.4774,-67.1437
"11033",18.5083,-67.1124
"12088",18.2815,-67.1431
"12179",18.2273,-66.0543
"12222",18.2223,-66.0567
"13000",18.3871,-65.9976
"13095",18.0813,-67.1394
"14121",18.338,-66.4706
"15020",18.1333,-66.1452
"15275",18.3394,-65.6549
"15835",18.2921,-66.1163
"16117",18.3042,-66.1313
"16129",18.1456,-65.8093
"16179",18.481,-66.808
"16220",18.4867,-66.8211
"17128",18.4962,-67.0191
"17344",18.0281,-66.5383
"17813",18.2228,-65.9161
"18870",18.0383,-67.0533
"19287",18.0424,-67.0276
"20274",18.2563,-67.0035
"20746",18.3537,-65.6924
"20882",18.2733,-66.888
"21359",18.2667,-66.8274
"21527",18.3932,-67.1069
"21976",18.217,-67.1167
"23052",18.0318,-66.5996
"23996",18.0474,-66.6514
"25014",18.0374,-66.6017
"25691",18.0125,-66.5874
"25959",18.2981,-67.2272
"25966",18.2998,-67.2343
"26617",18.3627,-67.2497
"27637",18.3188,-67.2178
"28716",18.3543,-67.2594
"28774",18.4061,-66.0868
"29302",18.3915,-66.02
"30285",18.4496,-66.0772
"30665",18.3915,-66.0973
"30851",18.3679,-66.9885
"31260",18.36,-66.03
"31534",18.2684,-66.7899
"31792",18.1215,-66.4982
"31953",18.1416,-65.4598
"32479",18.1469,-66.4919
"32510",18.1614,-66.7222
"32669",18.1747,-66.7978
"33399",17.9556,-66.2222
"34131",18.1281,-66.2642
"35206",18.3494,-66.7525
"36092",18.4725,-67.1156
"36768",18.3792,-65.8939
"36896",18.3069,-66.4739
"37260",18.3808,-67.1569
"38328",18.0836,-66.6547
"38989",18.3361,-66.6667
"39891",17.9728,-66.9458
"40962",18.3964,-66.9244
"41485",17.9783,-66.0875
"42549",18.2583,-65.9922
"42677",18.2158,-67.0883
